id,nombre,stock,valor_total
1,Laptop Lenovo,10,7500
2,Aspiradora Robot,5,1499.95
3,Camiseta Deportiva,50,999.4999999999999
4,Smartphone Samsung,7,6993
5,Freidora de Aire,12,1440
6,Zapatillas Running,25,2248.75
7,Tablet Android,15,4650
8,Colchón Queen,4,2200
9,Vestido Floral,20,900
10,Cámara Digital,6,3900
11,Juego de Sábanas,30,1199.7
12,Chaqueta Impermeable,18,1080
13,Consola de Videojuegos,9,4499.91
14,Batidora Manual,22,781.0
15,Pantalón Jeans,40,1598.0
16,Auriculares Bluetooth,30,2550
17,Cafetera Eléctrica,10,750
18,Bufanda Lana,35,875
19,Drone con Cámara,8,3360
20,Plancha a Vapor,16,784
21,Pelota de Fútbol,60,1799.3999999999999
22,Set de Pesas,12,1199.8799999999999
23,Muñeca Interactiva,14,770
24,Pista de Autos,10,755.0
25,Raqueta de Tenis,7,840
